Matchday,Date,Team,Home or Away,Opp Team,NUFC Score,Opp Score,Pos,Pld,W,D,L,G,GA,GD,Pts
1,15/08/2021,Newcastle,H,West Ham,2,4,15,1,0,0,1,2,4,-2,0
2,21/08/2021,Newcastle,A,Aston Villa,0,2,19,2,0,0,2,2,6,-4,0
3,28/08/2021,Newcastle,H,Southampton,2,2,15,3,0,1,2,4,8,-4,1
4,11/09/2021,Newcastle,A,Man Utd,1,4,19,4,0,1,3,5,12,-7,1
5,17/09/2021,Newcastle,H,Leeds,1,1,18,5,0,2,3,6,13,-7,2
6,25/09/2021,Newcastle,A,Watford,1,1,17,6,0,3,3,7,14,-7,3
7,02/10/2021,Newcastle,A,Wolves,1,2,19,7,0,3,4,8,16,-8,3
8,17/10/2021,Newcastle,H,Tottenham,2,3,19,8,0,3,5,10,19,-9,3
9,23/10/2021,Newcastle,A,Crystal Palace,1,1,19,9,0,4,5,11,20,-9,4
10,30/10/2021,Newcastle,H,Chelsea,0,3,19,10,0,4,6,11,23,-12,4
11,06/11/2021,Newcastle,A,Brighton,1,1,19,11,0,5,6,12,24,-12,5
12,20/11/2021,Newcastle,H,Brentford,3,3,20,12,0,6,6,15,27,-12,6
13,27/11/2021,Newcastle,A,Arsenal,0,2,20,13,0,6,7,15,29,-14,6
14,30/11/2021,Newcastle,H,Norwich,1,1,20,14,0,7,7,16,30,-14,7
15,04/12/2021,Newcastle,H,Burnley,1,0,19,15,1,7,7,17,30,-13,10
16,12/12/2021,Newcastle,A,Leicester,0,4,19,16,1,7,8,17,34,-17,10
17,16/12/2021,Newcastle,A,Liverpool,1,3,19,17,1,7,9,18,37,-19,10
18,19/12/2021,Newcastle,H,Man City,0,4,19,18,1,7,10,18,41,-23,10
19,27/12/2021,Newcastle,H,Man Utd,1,1,19,19,1,8,10,19,42,-23,11
20,15/01/2022,Newcastle,H,Watford,1,1,19,20,1,9,10,20,43,-23,12
21,22/01/2022,Newcastle,A,Leeds,1,0,18,21,2,9,10,21,43,-22,15
22,08/02/2022,Newcastle,H,Everton,3,1,17,22,3,9,10,24,44,-20,18
23,13/02/2022,Newcastle,H,Aston Villa,1,0,17,23,4,9,10,25,44,-19,21
24,19/02/2022,Newcastle,A,West Ham,1,1,17,24,4,10,10,26,45,-19,22
25,26/02/2022,Newcastle,A,Brentford,0,2,14,25,5,10,10,28,45,-17,25
26,05/03/2022,Newcastle,H,Brighton,2,1,14,26,6,10,10,30,46,-16,28
27,10/03/2022,Newcastle,A,Southampton,2,1,14,27,7,10,10,32,47,-15,31
28,13/03/2022,Newcastle,A,Chelsea,0,1,14,28,7,10,11,32,48,-16,31
29,17/03/2022,Newcastle,A,Everton,0,1,14,29,7,10,12,32,49,-17,31
30,03/04/2022,Newcastle,A,Tottenham,1,5,15,30,7,10,13,33,54,-21,31
31,08/04/2022,Newcastle,H,Wolves,1,0,14,31,8,10,13,34,54,-20,34
32,17/04/2022,Newcastle,H,Leicester,2,1,14,32,9,10,13,36,55,-19,37
33,20/04/2022,Newcastle,H,Crystal Palace,1,0,11,33,10,10,13,37,55,-18,40
34,23/04/2022,Newcastle,A,Norwich,3,0,9,34,11,10,13,40,55,-15,43
35,30/04/2022,Newcastle,H,Liverpool,0,1,10,35,11,10,14,40,56,-16,43
36,08/05/2022,Newcastle,A,Man City,0,5,13,36,11,10,15,40,61,-21,43
37,16/05/2022,Newcastle,H,Arsenal,2,0,12,37,12,10,15,42,61,-19,46
38,22/05/2022,Newcastle,H,Burnley,2,1,11,38,13,10,15,44,62,-18,49
